check	severity	detail
traceability_l0	pass	All 35 review guide_ids present in L0 source
traceability_l0_fields	pass	All guide_id->(target_gene, class) match L0 source
traceability_l1	pass	All L1 Uniprot fields traceable to source
traceability_l2	pass	All L2 Reactome fields traceable to source
traceability_l3	pass	All L3 RNA fields traceable to source
traceability_l4	pass	All L4 ADT fields traceable to source
traceability_l5	pass	All L5 DepMap fields traceable to source
l3_status_distribution	pass	L3 status: measured=27 missing=0 (non-NT measured=27/35, NT measured=0/0)
l4_status_distribution	pass	L4 status: measured=35 missing=0
l3_measured_consistency	pass	L3_measured field consistent with L3_status
l4_measured_consistency	pass	L4_measured field consistent with L4_status
l3_cell_counts	pass	All L3 cell counts are positive
l4_cell_counts	pass	All L4 cell counts are positive
stale_source_files	pass	All source files modified within 30 days
schema_version	pass	Schema version: 1.0
run_id	pass	L3 run_id: case45_p0_20260708T1015Z
l4_phase	pass	L4 phase: P4
missingness_required	pass	All required fields non-null for all rows
missingness_non_nt_l3	pass	All non-NT guides have L3 measured
missingness_non_nt_l4	pass	All non-NT guides have L4 measured
missingness_nt_l5	pass	NT guides correctly have null L5 annotations
missingness_high_rate	pass	No fields with >50% missingness
schema_expected_fields	pass	All 27 expected fields present
schema_extra_fields	pass	Extra fields present but documented: ['L3_source_file']
schema_types	pass	All field types match expected schema
schema_class_values	pass	All class values in ['IFN_response', 'JAK_STAT', 'NF_kB', 'checkpoint', 'control', 'control_reference', 'other']
schema_l3_status_values	pass	All L3_status values valid
schema_l4_status_values	pass	All L4_status values valid
schema_jsonl_tsv_consistency	pass	JSONL and TSV both have 35 rows
leakage_duplicate_guides	pass	No duplicate guide_ids
leakage_gene_guides	pass	15 unique genes across 35 guides (avg 2.3 guides/gene)
leakage_control_labeling	pass	All control guides have target_gene=NT
leakage_l3_control_pool	pass	All L3 measured guides share same control pool (2142 cells)
leakage_l4_control_pool	pass	All L4 measured guides share same control pool (2386 cells)
leakage_l3_top_genes	pass	L3 top response genes vary across guides (expected)
leakage_target_in_top	warn	2 guides have their target gene in L3 top response genes (potential on-target effect, not necessarily leakage)
repro_scripts_exist	pass	Stage 1 and Stage 2 scripts exist
repro_stage01_abs_paths	pass	stage01 script uses only relative paths
repro_stage02_abs_paths	pass	stage02 script uses only relative paths
repro_outputs_exist	pass	All required Stage 1-2 output files present
repro_row_count	pass	Review table: JSONL=35 rows, TSV=35 rows, manifest_total=35
repro_data_hash	pass	JSONL SHA256: 6aeb8bed0f0f6054...
repro_source_hashes	pass	Source file hashes recorded for 7 files
